DateTime,Entries,UniqueIPs
1518501130,5,5
1518503074,6,6
1518509915,7,7
1518530342,8,8
1518542212,7,7
1518553715,8,8
1518557795,9,9
1518559706,10,10
1518563796,9,9
1518573395,10,10
1518575354,9,9
1518577826,8,8
1518581757,9,9
1518583689,10,10
1518587559,11,11
1518589418,10,10
1518591681,14,14
1518595694,13,13
1518607464,14,14
1518616643,13,13
1518636198,14,14
1518640178,13,13
1518644159,12,12
1518646356,11,11
1518650918,12,12
1518655018,14,14
1518659080,13,13
1518667272,12,12
1518671324,11,11
1518673489,51,51
1518675403,52,52
1518677569,48,48
1518693163,47,47
1518722656,46,46
1518724607,47,47
1518735389,46,46
1518739903,45,45
1518741863,44,44
1518754126,45,45
1518760123,3,3
1518762038,2,2
1518781698,4,4
1518798751,5,5
1518810983,4,4
1518833340,5,5
1518835253,6,6
1518839351,5,5
1518841352,6,6
1518868434,4,4
1518872683,5,5
1518874580,6,6
1518886073,5,5
1518888010,6,6
1518904126,7,7
1518918764,6,6
1518920654,7,7
1518923810,6,6
1518957623,7,7
1518959556,5,5
1518962563,5,5
1518974442,4,4
1518982601,6,6
1518984497,10,10
1518990287,9,9
1518998679,10,10
1519006355,10,10
1519029390,11,11
1519035393,12,12
1519042949,11,11
1519047407,10,10
1519069259,8,8
1519078263,7,7
1519084355,8,8
1519086528,8,8
1519094199,9,9
1519100199,10,10
1519125316,4,4
1519144648,5,5
1519171298,4,4
1519173178,3,3
1519177033,5,5
1519192996,6,6
1519201248,7,7
1519231644,6,6
1519244922,7,7
1519250664,6,6
1519262191,5,5
1519264053,6,6
1519266008,8,8
1519273934,9,9
1519279923,8,8
1519284053,9,9
1519291322,10,10
1519295192,11,11
1519301125,45,45
1519313079,46,46
1519331377,45,45
1519339561,46,46
1519345468,45,45
1519349344,46,46
1519352183,44,44
1519354123,43,43
1519359859,42,42
1519377643,41,41
1519381479,40,40
1519387270,8,8
1519389367,5,5
1519391291,6,6
1519397069,7,7
1519398972,6,6
1519410998,7,7
1519426290,6,6
1519434277,5,5
1519436200,6,6
1519455880,5,5
1519465946,6,6
1519476036,5,5
1519484172,4,4
1519490910,5,5
1519496560,4,4
1519521287,5,5
1519523298,4,4
1519529306,3,3
1519550667,2,2
1519558569,3,3
1519564226,4,4
1519576030,3,3
1519607310,2,2
1519617141,3,3
1519620977,4,4
1519625794,5,5
1519644019,4,4
1519649777,3,3
1519652013,4,4
1519687463,5,5
1519695387,6,6
1519703065,7,7
1519706896,8,8
1519708841,7,7
1519712656,6,6
1519734038,7,7
1519737877,6,6
1519751191,5,5
1519774332,4,4
1519776526,5,5
1519778436,6,6
1519780358,6,6
1519786127,7,7
1519788038,6,6
1519793798,5,5
1519797671,6,6
1519801726,7,7
1519820896,6,6
1519834595,7,7
1519851404,8,8
1519862103,7,7
1519864118,6,6
1519867038,5,5
1519872754,4,4
1519880910,5,5
1519882826,4,4
1519888586,3,3
1519921265,2,2
1519938749,1,1
1519946435,2,2
1519948366,3,3
1519965880,2,2
1519983388,3,3
1519997790,4,4
1520001852,5,5
1520017265,7,7
1520019162,9,9
1520021066,10,10
1520032599,10,10
1520066714,11,11
1520068640,10,10
1520070557,11,11
1520076310,10,10
1520084202,9,9
1520088034,8,8
1520103678,6,6
1520105651,5,5
1520107481,4,4
1520119001,3,3
1520151159,4,4
1520153082,3,3
1520156896,2,2
1520191959,1,1
1520193883,2,2
1520218147,3,3
1520237610,2,2
1520247182,3,3
1520280591,2,2
1520286766,3,3
1520304319,3,3
1520308164,4,4
1520310033,5,5
1520333557,4,4
1520341278,5,5
1520373973,4,4
1520385454,5,5
1520387301,6,6
1520391149,5,5
1520394980,4,4
1520397036,3,3
1520403631,4,4
1520423075,5,5
1520426905,4,4
1520443222,5,5
1520472073,4,4
1520489417,3,3
1520509950,2,2
1520515944,3,3
1520530107,2,2
1520541613,5,5
1520565643,6,6
1520577186,7,7
1520596623,6,6
1520601371,5,5
1520624900,6,6
1520626817,3,3
1520651303,2,2
1520663077,4,4
1520672664,5,5
1520674620,6,6
1520689990,7,7
1520711307,6,6
1520713218,9,9
1520726916,10,10
1520742749,22,22
1520748511,20,20
1520758352,19,19
1520760255,18,18
1520776227,17,17
1520785967,18,18
1520796039,19,19
1520799889,17,17
1520811632,16,16
1520817401,17,17
1520828925,5,5
1520831837,8,8
1520841493,7,7
1520843594,8,8
1520859077,7,7
1520862877,8,8
1520867325,9,9
1520873323,8,8
1520879511,11,11
1520883318,10,10
1520887856,11,11
1520904015,10,10
1520917954,8,8
1520919872,7,7
1520923710,8,8
1520927569,9,9
1520952517,8,8
1520954420,9,9
1520958265,10,10
1520965584,7,7
1520967673,12,12
1520975318,11,11
1520987050,12,12
1520992712,13,13
1521010343,12,12
1521012271,11,11
1521014199,10,10
1521016107,12,12
1521029536,13,13
1521032354,14,14
1521036178,15,15
1521041792,15,15
1521045471,14,14
1521053304,9,9
1521058917,12,12
1521072980,11,11
1521078740,10,10
1521097856,11,11
1521101667,10,10
1521103475,9,9
1521105473,11,11
1521116509,10,10
1521118593,9,9
1521129172,8,8
1521135153,8,8
1521144744,5,5
1521159633,7,7
1521163454,8,8
1521167287,7,7
1521184704,7,7
1521192579,5,5
1521208097,6,6
1521211944,7,7
1521220571,6,6
1521232087,7,7
1521243851,6,6
1521245682,5,5
1521255370,6,6
1521263289,7,7
1521272732,8,8
1521278428,7,7
1521315036,11,11
1521320920,12,12
1521326940,11,11
1521338476,12,12
1521340332,11,11
1521350182,10,10
1521352099,8,8
1521360266,7,7
1521371785,8,8
1521375630,9,9
1521387143,8,8
1521389069,9,9
1521402739,5,5
1521408492,5,5
1521423630,4,4
1521454822,5,5
1521458662,4,4
1521462500,3,3
1521474029,2,2
1521481944,3,3
1521494670,2,2
1521512466,3,3
1521539767,4,4
1521541585,3,3
1521568876,2,2
1521577463,3,3
1521599255,2,2
1521609153,4,4
1521610968,5,5
1521612968,6,6
1521622412,7,7
1521626369,6,6
1521649340,7,7
1521657034,8,8
1521658984,11,11
1521664755,10,10
1521672809,12,12
1521695539,11,11
1521697455,10,10
1521699386,9,9
1521709720,8,8
1521735481,7,7
1521739216,8,8
1521743075,7,7
1521746915,4,4
1521754070,5,5
1521758138,3,3
1521771867,4,4
1521777680,5,5
1521785400,6,6
